Ip,Hostname
192.168.167.74,User Admin Not Found!
172.16.123.28,PDSDOCKISO1P
172.16.123.17,PDSSCCPISODB1P
172.16.123.18,PDSSCCPISODB2P
172.16.2.123,User Admin Not Found!
172.16.2.71,NMPDBNV2P
172.16.186.10,PDSDTAACPOINT01
192.168.167.220,Port 3389 is open (Windows)
172.16.121.20,PDSITOPSVR1P
172.16.123.13,User Admin Not Found!
172.16.9.8,User Admin Not Found!
172.16.123.21 ,Port 3389 is open (Windows)
172.16.82.30,ns01.pdshc.com.ph.local
172.16.82.52,Port 3389 is open (Windows)
172.16.82.50,Port 3389 is open (Windows)
172.16.82.51,Port 3389 is open (Windows)
172.16.82.150,Port 3389 is open (Windows)
172.16.17.2,Port 3389 is open (Windows)
192.168.167.15,BANCSHAMNG1P
172.16.7.252,User Admin Not Found!
172.16.9.68,User Admin Not Found!
172.16.7.231,pdsclgwyweb1p
172.16.105.10,pdsclgwyapp1p
172.16.7.241,User Admin Not Found!
172.16.121.11,PDSSITEAPPNG1P
172.16.122.21,PDSSITEDBNG1P
172.16.89.3,PDSDSSWEBPXY02P
172.16.123.20,BCPFILENG1P
172.16.7.247,FXINTEGBLOT02
172.16.195.12,PDSNROSSNG2P
192.168.167.100,Port 3389 is open (Windows)
172.16.82.151,Port 3389 is open (Windows)
172.16.17.3,Port 3389 is open (Windows)
172.16.7.251,pdsapipxybal2p
172.16.9.69,pdsapiwebapp2p
172.16.122.22,PDSWEBPRODDB2
172.16.7.25,pdsfrwdbondp
172.16.7.35,pdsfrwdbonddbp
172.16.82.155,Port 3389 is open (Windows)
172.16.82.28,Port 3389 is open (Windows)
172.16.82.27,Port 3389 is open (Windows)
172.16.82.20,Port 3389 is open (Windows)
172.16.82.18,Server unreachable
172.16.82.120,Port 3389 is open (Windows)
172.16.82.32,Server unreachable
172.16.82.153,Port 3389 is open (Windows)
172.16.7.3,pdsngsblprd01p
172.32.1.127,aristotle
172.16.9.7,donatello
172.32.1.130,pdscaacdbp
172.16.9.9,tts-db-prod-backup1
172.16.14.115,PDSDSSWEBPXY01D
172.16.108.25,pdsfxbnmptc01d
172.16.9.164,Port 3389 is open (Windows)
172.16.92.30,User Admin Not Found!
172.16.133.10,No relevant ports are open
172.16.131.20,User Admin Not Found!
192.168.67.100,Port 3389 is open (Windows)
172.16.133.22,Port 3389 is open (Windows)
172.16.92.150,Port 3389 is open (Windows)
172.16.131.15,mpredisharvesterd
172.16.95.11,PDSNROSSTC1D
172.16.216.10,PDSDTAACPOINT1D
172.16.108.30,pdsapipxybal1d
172.16.15.4,pdsapiwebapp1d
172.16.108.20,pdsclgwyweb1d
172.16.107.10,pdsclgwyapp1d
172.16.108.10,PDSSITEWEBTC1D
172.16.131.12,PDSSITEAPPTC1D
172.16.132.12,PDSSITEDBTC1D
172.16.7.108,User Admin Not Found!
172.16.7.88,Server unreachable
192.168.168.191,caacdb.local
192.168.168.154,caacws
192.168.167.50,User Admin Not Found!
192.168.168.93,mpredisharvesterfxtest
192.168.168.40,PDSSITEAPPNG1T
192.168.168.41,PDSWEBAPPSTST01
192.168.168.42,PDSWEBDBNGTST01
192.168.168.97,bcpfiles_test
192.168.168.127,User Admin Not Found!
192.168.168.116,pdsfxbnmpws01
192.168.167.53,Port 3389 is open (Windows)
192.168.168.91,Port 3389 is open (Windows)
192.168.168.65,Port 3389 is open (Windows)
192.168.168.125,pdsemscmwt
192.168.168.99,User Admin Not Found!
172.16.7.211,BANCSINTNG1P
172.16.7.212,BANCSINTNG2P
172.16.86.2,BANCSAPPNG1P
172.16.86.3,BANCSAPPNG2P
172.16.87.4,BANCSCARNG1P
172.16.87.5,BANCSCARNG2P
172.16.9.4 ,BANCSWEBNG1P
172.16.9.5,BANCSWEBNG2P
172.16.87.11,BANCSREPNG1P
172.16.87.12,BANCSREPNG2P
172.16.88.8,pdsbancsv6db1p
172.16.88.9,pdsbancsv6db2p
172.16.1.2,Port 3389 is open (Windows)
172.16.0.8,Port 3389 is open (Windows)
172.16.82.12,Port 3389 is open (Windows)
172.16.2.122,NMPDBNP1P
172.16.82.14,Port 3389 is open (Windows)
172.16.100.2,pdsapidbsvr1p
172.16.100.3,pdsapidbsvr2p
172.16.7.214 ,TRADEINTNG2P
172.16.7.215,TRADEINTNG1P
172.16.6.190,Port 3389 is open (Windows)
192.168.167.70,No relevant ports are open
192.168.167.71,No relevant ports are open
192.168.167.101,No relevant ports are open
192.168.167.102,No relevant ports are open
192.168.67.101,No relevant ports are open
172.16.98.13,pdsbancsv6db1d
172.16.106.10,TRADEINTTC1D
172.16.96.2,BANCSAPPTC1D
172.16.97.2,BANCSCARTC1D
172.16.9.165,BANCSWEBTC1D
172.16.110.4,pdsapidbsvr1d
172.16.106.7,BANCSINTTC1D
172.30.1.19,sungogh
172.16.9.167,vangogh
172.16.132.15,NMPDBTC1D
192.168.168.4,BANCSINTNG1U
192.168.168.3,BANCSDBSNG1U
192.168.168.2,BANCSWACNG1U
172.16.12.51,User Admin Not Found!
172.16.185.13,No relevant ports are open
192.168.168.6,PDSWEBTIBTST01
192.168.167.31,No relevant ports are open
192.168.167.32,No relevant ports are open
