INT,DESCRIPTION,STATUS,VLAN,MAC ADDRESS,IP,ACTIVE (YES/NO)
Server,Linux Practice Server,N/A,N/A,N/A,192.168.168.99,
Server,BCP Test,N/A,N/A,N/A,192.168.168.97,
Server,NG-TEST-Bugzilla,N/A,N/A,N/A,192.168.168.95,
Server,New Market Page Redisharvester,N/A,N/A,N/A,192.168.168.93,
Server,NG-TEST-ForwardBonds,N/A,N/A,N/A,192.168.168.92,
Server,Domain Controller,N/A,N/A,N/A,192.168.168.91,
Server,CAAC,N/A,N/A,N/A,192.168.168.85,
Server,NG/SR02/IBMX3250M3/PDSWEBTIBTST01/N01,N/A,N/A,N/A,192.168.168.7,
Server,HMAIL SMTP ,N/A,N/A,N/A,192.168.168.65,
Server,internal pds web,N/A,N/A,N/A,192.168.168.61,
Server,Trading Integration System Test,N/A,N/A,N/A,192.168.168.6,
POC,HC2/TUNNEL-POC,N/A,N/A,N/A,192.168.168.59,
POC,GIGAVUE/FABRIC/MANAGER/MGMT-POC,N/A,N/A,N/A,192.168.168.58,
POC,V-SERIES/HOST2/TUNNEL-POC,N/A,N/A,N/A,192.168.168.57,
POC,V-SERIES/HOST2/MGMT-POC,N/A,N/A,N/A,192.168.168.56,
POC,V-SERIES/HOST1/TUNNEL-POC,N/A,N/A,N/A,192.168.168.55,
POC,V-SERIES/HOST1/MGMT-POC,N/A,N/A,N/A,192.168.168.54,
Server,New PDS Website DB ,N/A,N/A,N/A,192.168.168.42,
Server,New PDS Website Apllications ,N/A,N/A,N/A,192.168.168.41,
Server,New PDS Website Web ,N/A,N/A,N/A,192.168.168.40,
Server,Settlement Integration System Test,N/A,N/A,N/A,192.168.168.4,
POC,Extrahop POC,N/A,N/A,N/A,192.168.168.35,
Server,PDS Web,N/A,N/A,N/A,192.168.168.32,
Server,PDS Web,N/A,N/A,N/A,192.168.168.31,
Server,Marketpage App,N/A,N/A,N/A,192.168.168.30,
Server,TEST-BANCS-DB,N/A,N/A,N/A,192.168.168.3,
Server,Marketpage Web,N/A,N/A,N/A,192.168.168.29,
Server,Marketpage Redis,N/A,N/A,N/A,192.168.168.28,
Server,Bancs Web/Applications/Communication and Report Test,N/A,N/A,N/A,192.168.168.2,
Server,TTS DB,N/A,N/A,N/A,192.168.168.191,
Server,PDSClear DB,N/A,N/A,N/A,192.168.168.179,
Server,PDSClearApp,N/A,N/A,N/A,192.168.168.177,
Server,PDSClearApp,N/A,N/A,N/A,192.168.168.175,
Server,Linux Practice Server,N/A,N/A,N/A,192.168.168.166,
Server,SCCP Docker ,N/A,N/A,N/A,192.168.168.165,
Server,SCCP DB,N/A,N/A,N/A,192.168.168.162,
Server,NG/SR03/IBM4563Q3E/PDSQRADAR1,N/A,N/A,N/A,192.168.168.160,
Server,CAAC,N/A,N/A,N/A,192.168.168.159,
Server,TTS Web,N/A,N/A,N/A,192.168.168.154,
Server,Itop,N/A,N/A,N/A,192.168.168.153,
Server,NG-TEST-Market-Page-DB,N/A,N/A,N/A,192.168.168.133,
POC,NG/checkpoint/POC,N/A,N/A,N/A,192.168.168.13,
Server,SFTP,N/A,N/A,N/A,192.168.168.127,
Server,EMSC,N/A,N/A,N/A,192.168.168.125,
POC,GIGAMON_POC,N/A,N/A,N/A,192.168.168.12,
Server,FX Blotter,N/A,N/A,N/A,192.168.168.116,
Server,NG/SR10/IBMX3650M4/LOCALHOST.LOCALDOMAIN/T01,N/A,N/A,N/A,192.168.168.115,
Server,Bancs 19c Data Base Test,N/A,N/A,N/A,192.168.168.11,
Server,PDS_Clear_WEB_Test,N/A,N/A,N/A,192.168.168.108,
Server,eSIP_Server_Test,N/A,N/A,N/A,192.168.168.105,
Facilities,NG-Verint-MGMT,N/A,N/A,N/A,192.168.167.90,
Server,NG/SR01/IBMX3650M4/BANCSCARNG2P/N01/,N/A,N/A,N/A,192.168.167.9,
Server,Bancs Applications 2,N/A,N/A,N/A,192.168.167.8,
Server,Vcenter 8.0 ,N/A,N/A,N/A,192.168.167.74,
Server,VMWare PROD 2,N/A,N/A,N/A,192.168.167.71,
Server,VMWare PROD 1,N/A,N/A,N/A,192.168.167.70,
Server,Bancs Applications 1,N/A,N/A,N/A,192.168.167.7,
Server,NG/SR01/IBMX3650M4/BANCSAPPNG1P/N01/,N/A,N/A,N/A,192.168.167.7,
Server,NG/SR01/IBMX3650M4/BANCSAPPNG1P/N01,N/A,N/A,N/A,192.168.167.6,
Server,Solarwinds DB (DEMO),N/A,N/A,N/A,192.168.167.53,
SERVER,SIMULATOR_PRTG,N/A,N/A,N/A,192.168.167.51,
Server,Solarwinds Web Test (DEMO),N/A,N/A,N/A,192.168.167.50,
Server,Bancs Web 2,N/A,N/A,N/A,192.168.167.5,
SERVER,SIMULATOR-PC2,N/A,N/A,N/A,192.168.167.47,
Server,VERSA_SYSLOG_MGMT,N/A,N/A,N/A,192.168.167.45,
Server,NG/SR10/IBMX3530M4/SOLARWINDSVM/N01,N/A,N/A,N/A,192.168.167.40,
Server,Bancs Web 2,N/A,N/A,N/A,192.168.167.4,
Server,VM Test  Host Server 2,N/A,N/A,N/A,192.168.167.32,
Server,VM Test  Host Server 1,N/A,N/A,N/A,192.168.167.31,
Server,Bancs Web 1,N/A,N/A,N/A,192.168.167.3,
SIP,NG-IP500-Secondary,N/A,N/A,N/A,192.168.167.29,
SIP,NG-IP500-Primary,N/A,N/A,N/A,192.168.167.28,
Server,NG/OB03/MICROSEMISYNCSERVERS600/NG-NTPSERVER/P01,N/A,N/A,N/A,192.168.167.254,
Facilities,NG//PDU-2,N/A,N/A,N/A,192.168.167.242,
Facilities,NG-PDU-01,N/A,N/A,N/A,192.168.167.241,
Server,SVC Service Assitant Tool,N/A,N/A,N/A,192.168.167.24,
Facilities,NG//PDU-1,N/A,N/A,N/A,192.168.167.24,
Facilities,NG-UPS-2,N/A,N/A,N/A,192.168.167.234,
Facilities,NG-UPS-1,N/A,N/A,N/A,192.168.167.233,
Facilities,NG-PACU-2,N/A,N/A,N/A,192.168.167.232,
Facilities,NG-PACU-1,N/A,N/A,N/A,192.168.167.231,
Facilities,NG/BIO/DATTACENTER,N/A,N/A,N/A,192.168.167.230,
STORAGE,NG/SR01/IBMSVC/PDS_SVC_PROD/N01/,N/A,N/A,N/A,192.168.167.23,
Facilities,NG/BIO/BATTERY/192.168.167.229,N/A,N/A,N/A,192.168.167.229,
Facilities,NG-BIOMETRIC,N/A,N/A,N/A,192.168.167.228,
Facilities,NG/BIO/SLIDING_DOOR/192.168.167.227,N/A,N/A,N/A,192.168.167.227,
Facilities,NG/BIO/FACEPASS,N/A,N/A,N/A,192.168.167.226,
Facilities,NG/BIO/MAINDOOR,N/A,N/A,N/A,192.168.167.225,
Server,Data Center Face Recognitio (Anviz) ,N/A,N/A,N/A,192.168.167.220,
STORAGE,BANCS-v6-SVC-Secondary,N/A,N/A,N/A,192.168.167.22,
