INT,DESCRIPTION,STATUS,VLAN,MAC ADDRESS,IP,ACTIVE (YES/NO)
Server,Linux Practice Server,N/A,N/A,N/A,192.168.168.99,NO
Server,BCP Test,N/A,N/A,N/A,192.168.168.97,YES
Server,NG-TEST-Bugzilla,N/A,N/A,N/A,192.168.168.95,YES
Server,New Market Page Redisharvester,N/A,N/A,N/A,192.168.168.93,YES
Server,NG-TEST-ForwardBonds,N/A,N/A,N/A,192.168.168.92,YES
Server,Domain Controller,N/A,N/A,N/A,192.168.168.91,YES
Server,CAAC,N/A,N/A,N/A,192.168.168.85,YES
Server,NG/SR02/IBMX3250M3/PDSWEBTIBTST01/N01,N/A,N/A,N/A,192.168.168.7,YES
Server,HMAIL SMTP ,N/A,N/A,N/A,192.168.168.65,NO
Server,internal pds web,N/A,N/A,N/A,192.168.168.61,YES
Server,Trading Integration System Test,N/A,N/A,N/A,192.168.168.6,YES
POC,HC2/TUNNEL-POC,N/A,N/A,N/A,192.168.168.59,NO
POC,GIGAVUE/FABRIC/MANAGER/MGMT-POC,N/A,N/A,N/A,192.168.168.58,NO
POC,V-SERIES/HOST2/TUNNEL-POC,N/A,N/A,N/A,192.168.168.57,NO
POC,V-SERIES/HOST2/MGMT-POC,N/A,N/A,N/A,192.168.168.56,NO
POC,V-SERIES/HOST1/TUNNEL-POC,N/A,N/A,N/A,192.168.168.55,NO
POC,V-SERIES/HOST1/MGMT-POC,N/A,N/A,N/A,192.168.168.54,YES
Server,New PDS Website DB ,N/A,N/A,N/A,192.168.168.42,YES
Server,New PDS Website Apllications ,N/A,N/A,N/A,192.168.168.41,YES
Server,New PDS Website Web ,N/A,N/A,N/A,192.168.168.40,YES
Server,Settlement Integration System Test,N/A,N/A,N/A,192.168.168.4,YES
POC,Extrahop POC,N/A,N/A,N/A,192.168.168.35,NO
Server,PDS Web,N/A,N/A,N/A,192.168.168.32,YES
Server,PDS Web,N/A,N/A,N/A,192.168.168.31,YES
